NODENAME;AVG.FREQ;DEF.FREQ;TIME;CPI;TPI;GBS;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512;FIRST_EVENT;LEVEL;SIZE;ITERATIONS
cmp2537;2088000;2100000;2.760261;0.346818;0.463521;0.936191;235.917050;4.330042;68.035668;8304375362;23944452098;0.000000;0;0;0;0;0;0;0;113;0;0;0;1;1;1;10
cmp2550;2088000;2100000;1.000899;0.347177;0.022758;0.126407;236.063275;10.007956;190.468493;29013413698;83569609716;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;20
cmp2543;2088000;2100000;1.000983;0.350159;0.026269;0.144654;219.273089;13.306739;189.162187;29014487671;82860992753;0.000000;0;0;0;0;0;0;0;26;0;0;0;1;1;1;20
cmp2551;2088000;2100000;1.001002;0.347421;0.023247;0.128848;237.062263;12.508551;190.644823;28974848985;83399779139;0.000000;0;0;0;0;0;0;0;116;0;0;0;1;1;1;20
cmp2539;2088000;2100000;1.001013;0.354901;0.029254;0.158904;239.182834;12.435084;192.555020;29008200759;81736119317;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;20
cmp2549;2088000;2100000;1.001007;0.349213;0.023605;0.130311;211.227324;11.507628;179.839196;29009586619;83071414162;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;20
cmp2538;2088000;2100000;1.000944;0.345383;0.026217;0.146408;238.188494;13.239590;190.795067;29021735176;84027583038;0.000000;0;0;0;0;0;0;0;119;0;0;0;1;1;1;20
cmp2540;2088000;2100000;1.000983;0.345055;0.024777;0.138491;222.449649;11.349937;189.759090;29021439199;84106822341;0.000000;0;0;0;0;0;0;0;106;0;0;0;1;1;1;20
cmp2552;2092800;2100000;1.001068;0.347997;0.018420;0.102100;182.128508;10.234835;138.924143;26954481554;77456141656;0.000001;0;0;0;0;0;0;0;186;0;0;0;1;1;1;20
cmp2544;2088000;2100000;1.000938;0.345424;0.023269;0.129906;226.058172;12.210397;180.480307;29015564651;83999877665;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;20
cmp2543;2088000;2100000;1.001183;0.351281;0.030423;0.166991;236.151880;13.289180;189.225964;20727805679;59006312946;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;30
cmp2550;2088000;2100000;1.001170;0.347252;0.022613;0.125559;236.456099;10.019092;190.498898;20727379906;59689818105;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;30
cmp2544;2088000;2100000;1.001409;0.345536;0.022812;0.127289;225.598841;12.217257;180.470431;20731361557;59997628681;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;30
cmp2551;2088000;2100000;1.001202;0.347372;0.023089;0.127995;237.152937;12.539948;190.779884;20701770537;59595327352;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;30
cmp2539;2088000;2100000;1.001313;0.355209;0.024561;0.133289;239.534991;12.470787;192.665365;20725107028;58346217764;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;30
cmp2549;2088000;2100000;1.001307;0.349920;0.025719;0.141652;228.394811;11.520366;179.749381;20720868968;59216059648;0.000000;0;0;0;0;0;0;0;26;0;0;0;1;1;1;30
cmp2538;2088000;2100000;1.001216;0.345333;0.022608;0.126259;238.064138;13.258022;190.756633;20733429553;60038973391;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;30
cmp2540;2088000;2100000;1.001154;0.345722;0.025701;0.143439;238.953876;11.350428;189.787929;20741584419;59994977608;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;30
cmp2552;2090100;2100000;1.001391;0.347988;0.017778;0.098503;182.619204;10.258808;139.003033;20732203870;59577436265;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;30
cmp2543;2088600;2100000;1.001183;0.349722;0.024105;0.132961;235.920177;13.282118;189.314977;20737232150;59296325634;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;40
cmp2544;2088000;2100000;1.001409;0.345536;0.028019;0.156323;225.367567;12.218819;180.501643;20728997674;59990921679;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;40
cmp2550;985800;2100000;1.001770;0.348068;0.059449;0.155507;158.417086;10.074439;110.362685;9793398013;28136484514;0.000000;0;0;0;0;0;0;0;106;0;0;0;1;1;1;40
cmp2539;988800;2100000;1.001713;0.355951;0.053146;0.135857;147.456208;12.443211;115.185414;9786832076;27494902110;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;40
cmp2538;990600;2100000;1.001816;0.345788;0.050211;0.132230;161.853107;13.232081;112.590687;9795555395;28328226206;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;40
cmp2540;996000;2100000;1.001854;0.345847;0.052953;0.139475;164.043414;11.423404;113.471797;9799371828;28334400934;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;40
cmp2549;988500;2100000;1.001806;0.349626;0.063105;0.164308;151.665907;11.574540;104.085366;9792179443;28007578152;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;40
cmp2551;994500;2100000;1.002002;0.350839;0.051732;0.133621;160.180283;12.622930;113.385742;9749761820;27789809052;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;40
