JOB-STEP,USER,APPLICATION,POLICY,NODES#,FREQ(GHz),TIME(s),POWER(Watts),GBS,CPI,ENERGY(J),GFLOPS/WATT,G-POW (T/U),G-FREQ,G-UTIL(G/MEM),AVG IMC,DEF FREQ
173373-14,xovidal,bqcd_4n,MT,4,2.3184,138.217958,264.022478,10.385768,0.699178,145970.702,0.336029,---,---,---,1.99,2.1
173373-13,xovidal,bqcd_4n,ME,4,2.381775,134.215486,278.651404,10.678642,0.696412,149597.207,0.327248,---,---,---,2.13,2.4
173373-12,xovidal,bqcd_4n,MT,4,2.32575,138.222227,264.780538,10.378707,0.707558,146393.903,0.334691,---,---,---,1.99,2.1
173373-11,xovidal,bqcd_4n,ME,4,2.38035,132.205229,285.401005,10.841032,0.688572,150926.11,0.324666,---,---,---,2.24,2.4
173373-10,xovidal,bqcd_4n,MT,4,2.3202,137.241699,268.596763,10.483934,0.694782,147450.889,0.332469,---,---,---,2.06,2.1
173373-9,xovidal,bqcd_4n,ME,4,2.379675,133.211701,282.621149,10.762461,0.686519,150593.798,0.324704,---,---,---,2.18,2.4
173373-8,xovidal,bqcd_4n,MO,4,2.372625,131.20572,297.89977,10.935088,0.689353,156344.53,0.313245,---,---,---,2.39,2.4
173373-7,xovidal,bqcd_4n,MO,4,2.373975,130.204234,297.983117,11.00388,0.66511,155194.75,0.315298,---,---,---,2.39,2.4
173373-6,xovidal,bqcd_4n,MO,4,2.3727,131.212999,297.437257,10.914577,0.66051,156110.914,0.313516,---,---,---,2.39,2.4
173373-5,xovidal,bqcd_4n,MO,4,2.08785,148.242455,241.716042,9.690475,0.675449,143330.467,0.340969,---,---,---,1.98,2.1
173373-4,xovidal,bqcd_4n,MO,4,2.088,148.237731,241.070733,9.700667,0.684292,142943.244,0.343012,---,---,---,1.98,2.1
173373-3,xovidal,bqcd_4n,MO,4,2.087925,148.229688,242.955871,9.691459,0.678862,144053.136,0.340109,---,---,---,1.98,2.1
173373-2,xovidal,bqcd_4n,MO,4,2.6109,126.180776,322.889653,11.333078,0.6771,162969.922,0.300268,---,---,---,2.39,TURBO
173373-1,xovidal,bqcd_4n,MO,4,2.618175,126.199256,322.553448,11.320692,0.712089,162824.238,0.300907,---,---,---,2.39,TURBO
173373-0,xovidal,bqcd_4n,MO,4,2.60925,126.226945,321.0285,11.32352,0.689998,162089.709,0.302251,---,---,---,2.39,TURBO
173277-11,xovidal,gromacs_4n_mt,ME,4,2.272725,314.221486,299.009532,10.479258,0.469019,375820.943,1.695749,---,---,---,1.99,2.4
173277-10,xovidal,gromacs_4n_mt,MT,4,2.1684,318.263584,294.924717,10.411296,0.427339,375455.164,0.312342,---,---,---,1.99,2.1
173277-9,xovidal,gromacs_4n_mt,ME,4,2.274225,314.214439,297.563436,10.431998,0.479014,373994.933,1.988231,---,---,---,1.96,2.4
173277-8,xovidal,gromacs_4n_mt,MT,4,2.168775,317.279276,294.772017,10.270295,0.498848,374100.2,2.410738,---,---,---,1.99,2.1
173277-7,xovidal,gromacs_4n_mt,ME,4,2.274375,313.215753,297.905386,10.696345,0.463183,373234.649,1.663591,---,---,---,1.96,2.4
173277-6,xovidal,gromacs_4n_mt,MT,4,2.168625,319.292249,294.502584,10.274722,0.531323,376129.595,3.373541,---,---,---,1.99,2.1
173277-5,xovidal,gromacs_4n_mt,MO,4,2.2773,313.213297,323.426151,10.422053,0.495897,405205.493,2.418828,---,---,---,2.39,2.4
173277-4,xovidal,gromacs_4n_mt,MO,4,2.278875,311.222225,323.348701,10.438188,0.525289,402533.232,3.176318,---,---,---,2.39,2.4
173277-3,xovidal,gromacs_4n_mt,MO,4,2.088,334.254617,278.722634,9.771584,0.531219,372657.128,3.401181,---,---,---,1.97,2.1
173277-2,xovidal,gromacs_4n_mt,MO,4,2.088,336.285949,278.572862,9.747467,0.4831,374720.544,1.883766,---,---,---,1.97,2.1
173277-1,xovidal,gromacs_4n_mt,MO,4,2.541075,307.197939,341.610964,10.714949,0.476542,419768.716,1.776754,---,---,---,2.39,TURBO
173277-0,xovidal,gromacs_4n_mt,MO,4,2.542575,309.182459,341.910306,10.585225,0.511182,422850.521,2.164512,---,---,---,2.39,TURBO
