NODE_ID;JOB_ID;STEP_ID;USER_ID;GROUP_ID;APP_ID;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG.CPUFREQ;AVG.IMCFREQ;DEF.FREQ;TIME;CPI;TPI;GBS;IO_MBS;P.MPI;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512
tcn484;1218652;5;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2184000;1467000;2200000;2161.508057;0.618662;36.828899;108.840614;0.115948;34.879433;493.893127;0.000000;348.065460;581392568074603;939758034179280;124.789482;0;0;0;0;0;0;0;0;269614838886058;0;0
tcn498;1218652;5;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2173234;1467000;2200000;2162.039551;0.447771;7.571243;34.751217;0.057979;60.022530;394.415070;0.000000;275.450592;297281775654938;663914605401340;62.701496;0;0;0;0;0;0;0;0;135490631200596;0;0
tcn484;1218652;4;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2288000;1467000;2300000;2157.736328;0.622764;35.867939;108.794769;0.115980;35.907925;511.620453;0.000000;363.979309;608220754424781;976647674540341;125.657890;0;0;0;0;0;0;0;0;271089552321400;0;0
tcn498;1218652;4;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2252859;1467000;2300000;2157.877686;0.447786;7.286047;34.486450;0.057621;61.379913;404.028931;0.000000;284.172485;309875078437899;692016500048572;63.018360;0;0;0;0;0;0;0;0;135881137794074;0;0
tcn484;1218652;3;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2392000;1467000;2400000;2092.115967;0.636457;35.096603;112.005806;0.119468;34.807400;531.377808;0.000000;380.532684;616437354666487;968545875705203;129.775543;0;0;0;0;0;0;0;0;271317675642910;0;0
tcn498;1218652;3;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2353406;1467000;2400000;2092.879883;0.452864;7.387116;35.512592;0.059561;61.364017;416.637360;0.000000;295.257751;313026623669907;691216242444149;65.209282;0;0;0;0;0;0;0;0;136060011049000;0;0
tcn484;1218652;2;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2493359;1467000;2500000;2091.107910;0.643486;34.988167;111.905174;0.119598;35.666985;555.676208;0.000000;396.183838;639688538735093;994099295881489;129.544327;0;0;0;0;0;0;0;0;270713609988054;0;0
tcn498;1218652;2;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2439937;1467000;2500000;2090.583008;0.452761;7.006293;35.461021;0.059604;62.355473;427.771606;0.000000;305.773346;325183417349196;718222940658348;65.369621;0;0;0;0;0;0;0;0;136670762663058;0;0
tcn484;1218652;1;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2574000;1467000;2600000;2030.708862;0.663416;32.521881;115.004570;0.122919;34.565228;577.050232;0.000000;413.930969;645489915913429;972979478379379;133.934067;0;0;0;0;0;0;0;0;270968532712002;0;0
tcn498;1218652;1;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2525250;1467000;2600000;2030.276367;0.448895;6.583955;36.417538;0.061415;62.570507;444.338501;0.000000;319.536255;328897809739669;732682767608250;67.408493;0;0;0;0;0;0;0;0;136897440265792;0;0
tcn484;1218652;0;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;3107812;1467000;2601000;2045.869629;0.696953;30.306581;112.476608;0.121521;37.033154;800.000000;0.000000;555.618896;782045511716573;1122091418732242;135.179749;0;0;0;0;0;0;0;0;276037398889580;0;0
tcn498;1218652;0;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;3261984;1467000;2601000;2046.618164;0.454141;5.290635;35.723190;0.060391;68.495010;620.755249;0.000000;459.702087;421358367275521;927813406176811;69.534477;0;0;0;0;0;0;0;0;141883656864412;0;0
